date,target_alloc,action,equity
1985-02-04,1.0,TRADE,1000000.0
1985-02-05,1.0,HOLD,1012124.2318551736
1985-02-06,1.0,HOLD,1020926.7563527654
1985-02-07,1.0,HOLD,1053811.659192825
1985-02-08,1.0,HOLD,1055140.3421358578
1985-02-11,1.0,HOLD,1033549.2443115761
1985-02-12,1.0,HOLD,1012622.4879588109
1985-02-13,1.0,HOLD,1033549.2443115761
1985-02-14,1.0,HOLD,1011625.9757515362
1985-02-15,1.0,HOLD,987211.4266733101
1985-02-19,1.0,HOLD,964623.8166417539
1985-02-20,1.0,HOLD,972928.0850357084
1985-02-21,1.0,HOLD,966782.9264241819
1985-02-22,1.0,HOLD,959142.9995017439
1985-02-25,1.0,HOLD,927088.5235010796
1985-02-26,1.0,HOLD,951004.8164756685
1985-02-27,1.0,HOLD,924431.1576150141
1985-02-28,1.0,HOLD,922770.3039362232
1985-03-01,1.0,HOLD,951669.1579471848
1985-03-04,1.0,HOLD,957149.9750871949
1985-03-05,1.0,HOLD,944693.5724962631
1985-03-06,1.0,HOLD,896196.6450755688
1985-03-07,1.0,HOLD,854010.96163428
1985-03-08,1.0,HOLD,835907.6565354592
1985-03-11,1.0,HOLD,823451.2539445275
1985-03-12,1.0,HOLD,833084.2052815148
1985-03-13,1.0,HOLD,770137.8508553397
1985-03-14,1.0,HOLD,754691.9116425844
1985-03-15,1.0,HOLD,766317.8873941206
1985-03-18,1.0,HOLD,765819.6312904833
1985-03-19,1.0,HOLD,789403.7535293141
1985-03-20,1.0,HOLD,784587.2778608204
1985-03-21,1.0,HOLD,784753.3632286995
1985-03-22,1.0,HOLD,776947.3509383823
1985-03-25,1.0,HOLD,730941.7040358745
1985-03-26,1.0,HOLD,734761.6674970936
1985-03-27,1.0,HOLD,755854.5092177379
1985-03-28,1.0,HOLD,755522.3384819798
1985-03-29,1.0,HOLD,773791.7289486796
1985-04-01,1.0,HOLD,800033.2170735758
1985-04-02,1.0,HOLD,784089.0217571832
1985-04-03,1.0,HOLD,748214.5822952999
1985-04-04,0.5,TRADE,743398.1066268062
1985-04-08,0.5,HOLD,735500.6909361633
1985-04-09,0.5,HOLD,737076.455819029
1985-04-10,0.5,HOLD,753765.997743248
1985-04-11,0.5,HOLD,754926.587776379
1985-04-12,0.5,HOLD,757249.7853865325
1985-04-15,0.5,HOLD,759569.1008784899
1985-04-16,0.5,HOLD,764217.5679716308
1985-04-17,0.5,HOLD,770028.6583253376
1985-04-18,0.5,HOLD,764712.0290311452
1985-04-19,0.5,HOLD,761388.4541571084
1985-04-22,0.5,HOLD,751251.7572183404
1985-04-23,0.5,HOLD,757478.1586918309
1985-04-24,0.5,HOLD,757061.1577729615
1985-04-25,0.5,HOLD,761958.9086299611
1985-04-26,0.5,HOLD,758635.4537806839
1985-04-29,0.5,HOLD,742769.1718002902
1985-04-30,0.5,HOLD,734546.2696523322
1985-05-01,0.5,HOLD,729146.8377222915
1985-05-02,0.5,HOLD,724660.8953193242
1985-05-03,0.5,HOLD,733043.7383979929
1985-05-06,0.4,TRADE,725141.3889832248
1985-05-07,0.4,HOLD,729008.6922999761
1985-05-08,0.4,HOLD,729718.0020102097
1985-05-09,0.4,HOLD,740793.8500425734
1985-05-10,1.0,TRADE,765874.8156743324
1985-05-13,1.0,HOLD,773512.8774138645
1985-05-14,1.0,HOLD,761101.0270871249
1985-05-15,1.0,HOLD,765715.6893880921
1985-05-16,1.0,HOLD,779718.8025772343
1985-05-17,1.0,HOLD,799927.8409297464
1985-05-20,1.0,HOLD,833026.1084677186
1985-05-21,1.0,HOLD,821250.76328594
1985-05-22,1.0,HOLD,809793.670676642
1985-05-23,1.0,HOLD,789902.8848966104
1985-05-24,1.0,HOLD,784492.5911644419
1985-05-28,1.0,HOLD,755054.2282099952
1985-05-29,1.0,HOLD,755054.2282099952
1985-05-30,1.0,HOLD,738027.7155822883
1985-05-31,1.0,HOLD,754735.9756375147
1985-06-03,1.0,HOLD,756804.6173586381
1985-06-04,0.9,TRADE,762374.0373770469
1985-06-05,1.0,TRADE,755945.4418052884
1985-06-06,1.0,HOLD,757856.8082826722
1985-06-07,0.8,TRADE,743680.8402420757
1985-06-10,0.8,HOLD,741735.8264690574
1985-06-11,0.8,HOLD,730679.5054089143
1985-06-12,0.4,TRADE,706880.7552848202
