date,tqqq_alloc,bond_alloc,equity
1985-02-04,1.0,0.0,999500.0
1985-02-05,1.0,0.0,1011624.1041428987
1985-02-06,1.0,0.0,1020426.5008955947
1985-02-07,1.0,0.0,1053311.2759581292
1985-02-08,1.0,0.0,1054639.8310909998
1985-02-11,1.0,0.0,1033048.3496403222
1985-02-12,1.0,0.0,1012121.4653467609
1985-02-13,1.0,0.0,1033048.093726051
1985-02-14,1.0,0.0,1011124.6971598484
1985-02-15,1.0,0.0,986710.0200427637
1985-02-19,1.0,0.0,964121.8975286467
1985-02-20,1.0,0.0,972426.0377201377
1985-02-21,1.0,0.0,966280.7508734016
1985-02-22,1.0,0.0,958640.6956829997
1985-02-25,1.0,0.0,926585.8346818332
1985-02-26,1.0,0.0,950501.9992573566
1985-02-27,1.0,0.0,923928.2119648407
1985-02-28,1.0,0.0,922267.2298213834
1985-03-01,1.0,0.0,951165.9553348656
1985-03-04,1.0,0.0,956646.3867854759
1985-03-05,1.0,0.0,944189.8555657287
1985-03-06,1.0,0.0,895692.7994833642
1985-03-07,1.0,0.0,853506.9873475418
1985-03-08,1.0,0.0,835403.5535213158
1985-03-11,1.0,0.0,822946.7645508536
1985-03-12,1.0,0.0,832579.5870288647
1985-03-13,1.0,0.0,769633.1037107995
1985-03-14,1.0,0.0,754187.035573232
1985-03-15,1.0,0.0,765812.8823670255
1985-03-18,1.0,0.0,765314.2391924924
1985-03-19,1.0,0.0,788898.2323417742
1985-03-20,1.0,0.0,784081.6275507587
1985-03-21,1.0,0.0,784247.583763135
1985-03-22,1.0,0.0,776441.4422843255
1985-03-25,1.0,0.0,730435.4076183195
1985-03-26,1.0,0.0,734255.2417590041
1985-03-27,1.0,0.0,755347.9541260822
1985-03-28,1.0,0.0,755015.6540037178
1985-03-29,1.0,0.0,773284.9150507629
1985-04-01,1.0,0.0,799526.0147183193
1985-04-02,1.0,0.0,783581.6898499934
1985-04-03,1.0,0.0,747707.120803086
1985-04-04,0.5,0.0,742704.5390920348
1985-04-08,0.5,0.0,734812.3537294025
1985-04-09,0.5,0.0,736387.0021564354
1985-04-10,0.5,0.0,753065.1079562794
1985-04-11,0.5,0.0,754224.864995043
1985-04-12,0.5,0.0,756546.435779118
1985-04-15,0.5,0.0,758864.0459387004
1985-04-16,0.5,0.0,763509.2984780616
1985-04-17,0.5,0.0,769316.3804277214
1985-04-18,0.5,0.0,764003.3407197397
1985-04-19,0.5,0.0,760681.9945623368
1985-04-22,0.5,0.0,750552.0970425545
1985-04-23,0.5,0.0,756774.2064893062
1985-04-24,0.5,0.0,756357.4496427048
1985-04-25,0.5,0.0,761251.8156574359
1985-04-26,0.5,0.0,757930.5893827865
1985-04-29,0.5,0.0,742075.0187932389
1985-04-30,0.5,0.0,733857.690519612
1985-05-01,0.5,0.0,728461.9045931913
1985-05-02,0.5,0.0,723978.9844545588
1985-05-03,0.5,0.0,732356.0644263999
1985-05-06,0.4,0.0,724428.5766370932
1985-05-07,0.4,0.0,728292.2342266771
1985-05-08,0.4,0.0,729000.8700468296
1985-05-09,0.4,0.0,740066.2887289131
1985-05-10,1.0,0.0,764906.1402542716
1985-05-13,1.0,0.0,772536.5487631102
1985-05-14,1.0,0.0,760136.8180164108
1985-05-15,1.0,0.0,764746.9002760126
1985-05-16,1.0,0.0,778736.2252153262
1985-05-17,1.0,0.0,798925.3885316047
1985-05-20,1.0,0.0,831991.0311813515
1985-05-21,1.0,0.0,820227.1812014731
1985-05-22,1.0,0.0,808781.271638466
1985-05-23,1.0,0.0,788909.9406597808
1985-05-24,1.0,0.0,783504.8992451715
1985-05-28,1.0,0.0,754095.1929108485
1985-05-29,1.0,0.0,754095.1387438063
1985-05-30,1.0,0.0,737085.2715436534
1985-05-31,1.0,0.0,753777.089939155
1985-06-03,1.0,0.0,755843.5400735935
1985-06-04,0.9,0.0,761369.2635548746
1985-06-05,1.0,0.0,754910.7513306603
1985-06-06,1.0,0.0,756819.5884448667
1985-06-07,0.8,0.0,742588.0151566765
1985-06-10,0.8,0.0,740645.6184238812
1985-06-11,0.8,0.0,729604.4252340798
1985-06-12,0.4,0.0,705700.8088786155
1985-06-13,0.4,0.0,690053.1863228381
1985-06-14,0.4,0.0,695811.2016882037
1985-06-17,0.4,0.0,690970.5195722156
1985-06-18,0.4,0.0,692021.94201062
1985-06-19,0.4,0.0,693460.2333039163
1985-06-20,0.4,0.0,689289.2239467399
1985-06-21,0.4,0.0,697755.3021963047
1985-06-24,0.4,0.0,708453.3848520726
1985-06-25,1.0,0.0,725153.5056706506
1985-06-26,1.0,0.0,748467.1173790785
1985-06-27,1.0,0.0,769915.636116921
1985-06-28,1.0,0.0,769449.3125784093
1985-07-01,1.0,0.0,774111.8940070684
1985-07-02,1.0,0.0,761677.8906027087
1985-07-03,1.0,0.0,751575.2533847672
1985-07-05,1.0,0.0,759968.0709461238
1985-07-08,1.0,0.0,742560.3854466021
1985-07-09,1.0,0.0,731836.0505041503
1985-07-10,1.0,0.0,741316.8892687411
1985-07-11,1.0,0.0,759967.7684015393
1985-07-12,1.0,0.0,777064.4033901555
1985-07-15,1.0,0.0,785768.0190611649
1985-07-16,1.0,0.0,811879.2699688784
1985-07-17,1.0,0.0,848093.1077241203
1985-07-18,1.0,0.0,821360.0581120818
1985-07-19,1.0,0.0,831773.4432483665
1985-07-22,1.0,0.0,823224.9488002756
1985-07-23,1.0,0.0,830996.1188638539
1985-07-24,1.0,0.0,814831.9292791054
1985-07-25,1.0,0.0,827421.2561286215
1985-07-26,1.0,0.0,821204.2289661642
1985-07-29,1.0,0.0,773333.3577208912
1985-07-30,1.0,0.0,773177.8826261355
1985-07-31,1.0,0.0,775664.6225441647
1985-08-01,1.0,0.0,799289.082648512
1985-08-02,1.0,0.0,796802.2413193852
1985-08-05,0.6000000000000001,0.0,773489.0156031236
1985-08-06,0.6000000000000001,0.0,761803.712285279
1985-08-07,0.6000000000000001,0.0,749375.5035863181
1985-08-08,0.6000000000000001,0.0,752236.831876145
1985-08-09,0.6000000000000001,0.0,754818.49365093
1985-08-12,0.6000000000000001,0.0,748579.2257339455
1985-08-13,0.4,0.0,734687.1433616005
1985-08-14,0.4,0.0,735681.6957853525
1985-08-15,0.4,0.0,733129.8533574515
1985-08-16,0.4,0.0,726257.8628673118
1985-08-19,0.4,0.0,722600.2894253419
1985-08-20,0.4,0.0,731461.5502067283
1985-08-21,0.5,0.0,737320.3212743218
1985-08-22,0.4,0.0,729246.6329727543
1985-08-23,0.0,0.0,726397.7810624867
