bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,10,0.24,0.1,0.14,0.3333333333333333,1.0,32.21,-52.42,0.615,42.73,-51.47,0.83
30,10,0.24,0.1,0.14,0.3333333333333333,1.3,31.73,-52.42,0.605,45.51,-51.47,0.884
30,10,0.24,0.1,0.14,0.5,1.0,33.47,-52.42,0.638,43.18,-51.47,0.839
30,10,0.24,0.1,0.14,0.5,1.3,32.98,-52.42,0.629,45.97,-51.47,0.893
30,10,0.24,0.1,0.14,0.6666666666666666,1.0,33.69,-52.42,0.643,43.64,-51.47,0.848
30,10,0.24,0.1,0.14,0.6666666666666666,1.3,33.2,-52.42,0.633,46.44,-51.47,0.902
30,10,0.24,0.1,0.16,0.3333333333333333,1.0,34.18,-52.42,0.652,44.91,-53.66,0.837
30,10,0.24,0.1,0.16,0.3333333333333333,1.3,34.49,-52.42,0.658,47.41,-55.86,0.849
30,10,0.24,0.1,0.16,0.5,1.0,35.45,-52.42,0.676,45.37,-53.66,0.845
30,10,0.24,0.1,0.16,0.5,1.3,35.77,-52.42,0.682,47.87,-55.86,0.857
30,10,0.24,0.1,0.16,0.6666666666666666,1.0,35.68,-52.42,0.681,45.84,-53.66,0.854
30,10,0.24,0.1,0.16,0.6666666666666666,1.3,36.0,-52.42,0.687,48.35,-55.86,0.865
30,10,0.24,0.1,0.18,0.3333333333333333,1.0,33.96,-52.42,0.648,43.79,-58.6,0.747
30,10,0.24,0.1,0.18,0.3333333333333333,1.3,34.02,-52.42,0.649,45.34,-64.26,0.706
30,10,0.24,0.1,0.18,0.5,1.0,35.23,-52.42,0.672,44.24,-58.6,0.755
30,10,0.24,0.1,0.18,0.5,1.3,35.29,-52.42,0.673,45.8,-64.26,0.713
30,10,0.24,0.1,0.18,0.6666666666666666,1.0,35.46,-52.42,0.677,44.7,-58.6,0.763
30,10,0.24,0.1,0.18,0.6666666666666666,1.3,35.52,-52.42,0.678,46.27,-64.26,0.72
30,10,0.24,0.14,0.14,0.3333333333333333,1.0,32.26,-52.42,0.615,42.61,-51.47,0.828
30,10,0.24,0.14,0.14,0.3333333333333333,1.3,31.78,-52.42,0.606,45.38,-51.47,0.882
30,10,0.24,0.14,0.14,0.5,1.0,32.61,-52.42,0.622,43.16,-51.47,0.838
30,10,0.24,0.14,0.14,0.5,1.3,32.13,-52.42,0.613,45.95,-51.47,0.893
30,10,0.24,0.14,0.14,0.6666666666666666,1.0,33.47,-52.42,0.639,43.65,-51.47,0.848
30,10,0.24,0.14,0.14,0.6666666666666666,1.3,32.99,-52.42,0.629,46.45,-51.47,0.902
30,10,0.24,0.14,0.16,0.3333333333333333,1.0,34.23,-52.42,0.653,44.79,-53.66,0.835
30,10,0.24,0.14,0.16,0.3333333333333333,1.3,34.54,-52.42,0.659,47.28,-55.86,0.846
30,10,0.24,0.14,0.16,0.5,1.0,34.58,-52.42,0.66,45.35,-53.66,0.845
30,10,0.24,0.14,0.16,0.5,1.3,34.9,-52.42,0.666,47.85,-55.86,0.857
30,10,0.24,0.14,0.16,0.6666666666666666,1.0,35.46,-52.42,0.676,45.85,-53.66,0.854
30,10,0.24,0.14,0.16,0.6666666666666666,1.3,35.77,-52.42,0.682,48.36,-55.86,0.866
30,10,0.24,0.14,0.18,0.3333333333333333,1.0,34.01,-52.42,0.649,43.66,-58.6,0.745
30,10,0.24,0.14,0.18,0.3333333333333333,1.3,34.07,-52.42,0.65,45.22,-64.26,0.704
30,10,0.24,0.14,0.18,0.5,1.0,34.37,-52.42,0.656,44.22,-58.6,0.755
30,10,0.24,0.14,0.18,0.5,1.3,34.43,-52.42,0.657,45.78,-64.26,0.712
30,10,0.24,0.14,0.18,0.6666666666666666,1.0,35.24,-52.42,0.672,44.71,-58.6,0.763
30,10,0.24,0.14,0.18,0.6666666666666666,1.3,35.3,-52.42,0.673,46.28,-64.26,0.72
30,10,0.28,0.1,0.14,0.3333333333333333,1.0,32.36,-52.42,0.617,42.97,-51.47,0.835
30,10,0.28,0.1,0.14,0.3333333333333333,1.3,31.88,-52.42,0.608,45.75,-51.47,0.889
30,10,0.28,0.1,0.14,0.5,1.0,32.76,-52.42,0.625,42.84,-51.47,0.832
30,10,0.28,0.1,0.14,0.5,1.3,32.27,-52.42,0.616,45.62,-51.47,0.886
30,10,0.28,0.1,0.14,0.6666666666666666,1.0,33.06,-52.42,0.631,43.38,-51.47,0.843
30,10,0.28,0.1,0.14,0.6666666666666666,1.3,32.58,-52.42,0.621,46.18,-51.47,0.897
30,10,0.28,0.1,0.16,0.3333333333333333,1.0,34.33,-52.42,0.655,45.16,-53.66,0.841
30,10,0.28,0.1,0.16,0.3333333333333333,1.3,34.65,-52.42,0.661,47.65,-55.86,0.853
30,10,0.28,0.1,0.16,0.5,1.0,34.73,-52.42,0.663,45.02,-53.66,0.839
30,10,0.28,0.1,0.16,0.5,1.3,35.05,-52.42,0.669,47.52,-55.86,0.851
30,10,0.28,0.1,0.16,0.6666666666666666,1.0,35.04,-52.42,0.668,45.58,-53.66,0.849
30,10,0.28,0.1,0.16,0.6666666666666666,1.3,35.35,-52.42,0.674,48.08,-55.86,0.861
