group,param,value,bull_ma,bull_mom,risk_ma,risk_mom,rv252,vxn,cb,cagr,dd,calmar,sharpe,tpy,roll_pass_25_50,roll_median_cagr,roll_worst_dd
BASE,baseline,base,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,bull_ma,35,35,15,300,126,0.16,0.4,-0.0475,39.7617,-50.0746,0.7941,0.9866,30.8074,22,41.3968,-50.0746
OAT,bull_ma,38,38,15,300,126,0.16,0.4,-0.0475,39.4086,-50.0746,0.787,0.9821,30.5891,22,40.0795,-50.0746
OAT,bull_ma,40,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,bull_ma,42,42,15,300,126,0.16,0.4,-0.0475,38.2994,-46.7196,0.8198,0.9654,31.0258,29,38.5277,-46.7196
OAT,bull_ma,45,45,15,300,126,0.16,0.4,-0.0475,38.6097,-46.7075,0.8266,0.9719,30.8559,29,39.267,-46.7075
OAT,bull_mom,10,40,10,300,126,0.16,0.4,-0.0475,38.2744,-50.0212,0.7652,0.9672,31.7292,20,37.4904,-50.0212
OAT,bull_mom,12,40,12,300,126,0.16,0.4,-0.0475,37.8226,-51.2714,0.7377,0.9581,31.6807,24,37.9996,-51.2714
OAT,bull_mom,15,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,bull_mom,18,40,18,300,126,0.16,0.4,-0.0475,38.0671,-51.8804,0.7337,0.9583,29.9584,23,37.7834,-51.8804
OAT,bull_mom,20,40,20,300,126,0.16,0.4,-0.0475,38.3344,-49.1408,0.7801,0.9633,29.6673,30,38.592,-49.1408
OAT,risk_ma,250,40,15,250,126,0.16,0.4,-0.0475,39.1962,-47.2035,0.8304,0.9792,31.0258,30,38.7719,-47.2035
OAT,risk_ma,275,40,15,275,126,0.16,0.4,-0.0475,39.4565,-47.2035,0.8359,0.9834,30.953,30,39.3585,-47.2035
OAT,risk_ma,290,40,15,290,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,risk_ma,300,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,risk_ma,310,40,15,310,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,risk_ma,325,40,15,325,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,risk_ma,350,40,15,350,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,risk_mom,84,40,15,300,84,0.16,0.4,-0.0475,38.5847,-47.2035,0.8174,0.97,31.6807,29,38.4307,-47.2035
OAT,risk_mom,105,40,15,300,105,0.16,0.4,-0.0475,39.4868,-47.2035,0.8365,0.9843,30.9287,30,39.2316,-47.2035
OAT,risk_mom,120,40,15,300,120,0.16,0.4,-0.0475,39.7987,-47.2035,0.8431,0.9893,30.8074,30,40.033,-47.2035
OAT,risk_mom,126,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,risk_mom,132,40,15,300,132,0.16,0.4,-0.0475,39.0052,-47.2035,0.8263,0.9752,30.8559,30,38.3422,-47.2035
OAT,risk_mom,147,40,15,300,147,0.16,0.4,-0.0475,38.4157,-47.2035,0.8138,0.9651,30.7589,28,36.9643,-47.2035
OAT,risk_mom,168,40,15,300,168,0.16,0.4,-0.0475,38.1139,-47.2035,0.8074,0.9602,30.9287,28,36.5288,-47.2035
OAT,rv252,0.14,40,15,300,126,0.14,0.4,-0.0475,37.7448,-47.2035,0.7996,0.9595,32.7966,27,37.9158,-47.2035
OAT,rv252,0.15,40,15,300,126,0.15,0.4,-0.0475,38.64,-47.2035,0.8186,0.9722,31.802,28,38.9389,-47.2035
OAT,rv252,0.16,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,rv252,0.17,40,15,300,126,0.17,0.4,-0.0475,39.4086,-50.7511,0.7765,0.979,29.9342,23,40.2536,-50.7511
OAT,rv252,0.18,40,15,300,126,0.18,0.4,-0.0475,39.0441,-50.1948,0.7779,0.9673,29.0609,23,37.8623,-50.1948
OAT,rv252,0.2,40,15,300,126,0.2,0.4,-0.0475,36.2232,-48.3762,0.7488,0.9122,27.7024,28,36.1715,-48.3762
OAT,vxn,0.32,40,15,300,126,0.16,0.32,-0.0475,39.4455,-47.2035,0.8356,0.9832,30.953,30,39.3427,-47.2035
OAT,vxn,0.35,40,15,300,126,0.16,0.35,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,vxn,0.38,40,15,300,126,0.16,0.38,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,vxn,0.4,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,vxn,0.42,40,15,300,126,0.16,0.42,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,vxn,0.45,40,15,300,126,0.16,0.45,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
OAT,vxn,0.5,40,15,300,126,0.16,0.5,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
