date,xndx_close,xndx_ret,tqqq_close,vxn,rv252,base_alloc,risk_on_override,circuit_cash,target_alloc_tqqq,action,cash_value,tqqq_value,equity
1985-02-04,126.2200,+0.000000,0.6021,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,1000000.00,1000000.00
1985-04-04,115.9700,-0.001893,0.4476,,0.0000,0.5000,0,0,0.5000,TRADE,371710.51,371710.51,743421.02
1985-05-06,114.4500,-0.007286,0.4225,,0.0000,0.4000,0,0,0.4000,TRADE,435091.74,290061.16,725152.91
1985-05-10,119.7500,+0.027544,0.4813,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,765911.82,765911.82
1985-06-04,120.1000,+0.002672,0.4791,,0.0000,0.9000,0,0,0.9000,TRADE,76234.31,686108.77,762343.08
1985-06-05,119.7500,-0.002914,0.4746,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,755883.23,755883.23
1985-06-07,119.1600,-0.006006,0.4669,,0.0000,0.8000,0,0,0.8000,TRADE,148727.42,594909.68,743637.10
1985-06-12,116.7500,-0.013436,0.4379,,0.0000,0.4000,0,0,0.4000,TRADE,424103.82,282735.88,706839.70
1985-06-25,119.6400,+0.019949,0.4667,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,726519.52,726519.52
1985-08-05,123.2800,-0.009401,0.4979,,0.0000,0.6000,0,0,0.6000,TRADE,310066.85,465100.28,775167.13
1985-08-13,119.9100,-0.010317,0.4558,,0.0000,0.4000,0,0,0.4000,TRADE,441796.70,294531.13,736327.84
1985-08-21,120.3800,+0.006943,0.4588,,0.0000,0.5000,0,0,0.5000,TRADE,369518.72,369518.72,739037.43
1985-08-22,119.5200,-0.007144,0.4487,,0.0000,0.4000,0,0,0.4000,TRADE,438556.98,292371.32,730928.30
1985-08-23,119.1700,-0.002928,0.4444,,0.0000,0.0000,0,0,0.0000,TRADE,728240.24,0.00,728240.24
1985-09-23,115.0700,+0.009297,0.3926,,0.0000,0.3000,0,0,0.3000,TRADE,513075.98,219889.71,732965.69
1985-09-24,112.8100,-0.019640,0.3692,,0.0000,0.0000,0,0,0.0000,TRADE,719957.14,0.00,719957.14
1985-10-16,114.3150,+0.008247,0.3775,,0.0000,1.0000,0,0,1.0000,TRADE,0.00,723291.56,723291.56
